2024-02-01 10:55:05.362 [info] Log level: Info
2024-02-01 10:55:05.362 [info] Validating found git in: "git"
2024-02-01 10:55:05.362 [info] Using git "2.34.1" from "git"
2024-02-01 10:55:05.362 [info] > git rev-parse --show-toplevel [36ms]
2024-02-01 10:55:05.362 [info] > git rev-parse --git-dir --git-common-dir [50ms]
2024-02-01 10:55:05.362 [info] Open repository: /home/luan/odoo
2024-02-01 10:55:05.365 [info] > git rev-parse --show-toplevel [10ms]
2024-02-01 10:55:05.367 [info] > git config --get commit.template [26ms]
2024-02-01 10:55:05.659 [info] > git rev-parse --show-toplevel [41ms]
2024-02-01 10:55:05.709 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/17.0 refs/remotes/17.0 [58ms]
2024-02-01 10:55:05.766 [info] > git rev-parse --show-toplevel [59ms]
2024-02-01 10:55:05.857 [info] > git rev-parse --show-toplevel [50ms]
2024-02-01 10:55:05.953 [info] > git rev-parse --show-toplevel [9ms]
2024-02-01 10:55:06.118 [info] > git rev-parse --show-toplevel [93ms]
2024-02-01 10:55:06.304 [info] > git rev-parse --show-toplevel [68ms]
2024-02-01 10:55:06.462 [info] > git rev-parse --show-toplevel [35ms]
2024-02-01 10:55:06.546 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:06.590 [info] > git check-ignore -v -z --stdin [289ms]
2024-02-01 10:55:06.605 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:06.726 [info] > git rev-parse --show-toplevel [51ms]
2024-02-01 10:55:06.818 [info] > git rev-parse --show-toplevel [7ms]
2024-02-01 10:55:06.891 [info] > git rev-parse --show-toplevel [30ms]
2024-02-01 10:55:07.007 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:07.048 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:07.151 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:07.421 [info] > git rev-parse --show-toplevel [107ms]
2024-02-01 10:55:07.531 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:07.688 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:07.803 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:07.837 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:07.868 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:07.914 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:07.947 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:07.987 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:08.101 [info] > git rev-parse --show-toplevel [42ms]
2024-02-01 10:55:08.241 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:08.278 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:08.393 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:08.468 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:08.527 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:09.511 [info] > git rev-parse --show-toplevel [152ms]
2024-02-01 10:55:09.630 [info] > git rev-parse --show-toplevel [21ms]
2024-02-01 10:55:09.744 [info] > git rev-parse --show-toplevel [29ms]
2024-02-01 10:55:09.789 [info] > git rev-parse --show-toplevel [16ms]
2024-02-01 10:55:09.850 [info] > git status -z -uall [3961ms]
2024-02-01 10:55:09.851 [info] > git rev-parse --show-toplevel [26ms]
2024-02-01 10:55:10.058 [info] > git rev-parse --show-toplevel [112ms]
2024-02-01 10:55:10.084 [info] > git config --get commit.template [28ms]
